New Dietary Ingredient Notification #,New Dietary Ingredient Report # Regulations.gov,Name of New Dietary Ingredient,Firm,Date of Submission,Date of FDA's   Response  
427,Rpt/NDI 382,Agaricus blazei Murrill (Sun Chlorella Agaricus),Sun Chlorella USA ,11/1/2006,2/27/2007
428,Rpt/NDI 383,Levansucrase (Zymomonas mobilis extract),Amano Enzyme Inc,11/1/2006,4/26/2007
429,Rpt/NDI 384,"Potassium bicarbonate, Sodium bicarbonate","PHX Health Solutions, Inc. ",11/7/2006,1/23/2007
430,Rpt/NDI 385,"Potassium hydroxide, sodium hydroxide","PHX Health Solutions, Inc. ",11/7/2006,1/23/2007
431,Rpt/NDI 386,Calcium carbonate DC (Spray dried),"PHX Health Solutions, Inc. ",11/8/2006,1/23/2007
433,Rpt/NDI 387,Tangerine Extract (Citrus reticulata) ,"Oryza Oil & Fat Chemical  Co., Ltd.",11/20/2006,1/23/2007
434,Rpt/NDI 388,Pomegranate (Punica granatum L. Wonderful variety) fruit polyphenol extract (POMx),Pom Wonderful LLC,12/15/2006,2/28/2007
437,Rpt/NDI 389,Sarcosine (N-methyglycine),Hsiu-Mei Chao,12/29/2006,3/14/2007
438,Rpt/NDI 390,"EstroG- 100 (Angelica gigas Nakai, Phlomis umbrosa Turez, Cynanchum wilfordii (Max.) Hook.)",Sunbio Corporation,1/3/2007,3/20/2007
441,Rpt/NDI 391,Omega-3 Phospholipids (Omega-3 PL),Natural ASA,1/22/2007,4/12/2007
442,Rpt/NDI 392,"ACAPHA (Sophora tonkinensis Gapnep, Polygonum bistorta L., Prunella vulagaris L., Sonchus brachyotus DC, Dictamus dascarpus Turcz, Dioscorea bulbifera L.) (ProhibitRx)",Global Cancers Strategies Ltd,1/26/2007,4/20/2007
443,Rpt/NDI 393,Calcium carbonate DC (Spray dried) (PHXCal-Carb buffer),"PHX Health Solutions, Inc. ",1/31/2007,4/17/2007
444,Rpt/NDI 394,"Potassium hydroxide, Sodium hydroxide (PHX Liquid buffer)","PHX Health Solutions, Inc. ",1/31/2007,4/17/2007
445,Rpt/NDI 395,"Potassium bicarbonate, Sodium bicarbonate (PHX P/S BiCarb Balance)","PHX Health Solutions, Inc. ",1/31/2007,4/17/2007
446,Rpt/NDI 401,"Epimedium brevicornum Maxim., E.rotundatum Hao, Psoralea coryliforia L.) (Bone Strengthening Capsule)","Guizhou Runfeng Natural Roborants Co., Ltd",2/5/2007,4/24/2007
447,Rpt/NDI 396,Garlic (Allium sativum L.) naturally enriched with selenium (GarliSelect),Sabinsa Corporation,2/16/2007,5/15/2007
448,Rpt/NDI 402,CH-19 Sweet extract (Capsicum annuum L.) (Capsiate Natura),"Ajinomoto USA, Inc",2/21/2007,5/17/2007
449,Rpt/NDI 397,Sesame Peptide KM-20 (Sesamum indicum L.),"Uniglobe Kisco, Inc",2/22/2007,5/15/2007
450,Rpt/NDI 398,Tangerine Extract (Citrus reticulata) (Whitening Beauty Plan),"Oryza Oil & Fat Chemical  Co., Ltd.",3/1/2007,5/15/2007
452,Rpt/NDI 399,Aka-shoma Extract produced from dried roots of Astilbe thunbergii,"BHN Co., LTD",3/5/2007,5/22/2007
453,Rpt/NDI 403,Extramel ® microgranules produced from the fruit of Cucumis melo L.,Seppic Inc,3/6/2007,6/8/2007
454,Rpt/NDI 400,Oligonol produced from the leaves of Camellia sinensis (L.) Kuntz and the fruit of Litchi chinensis Sonn.  ,Amino Up-Chemical Company LTD,3/7/2007,5/24/2007
456,Rpt/NDI 404,Decursinol™ derived from the roots and leaves of Angelica gigas Nakai,Sunbio Corporation,3/14/2007,6/19/2007
457,Rpt/NDI 411,Huang Shu Kui Hua (an extract of Abelmoschus manihot L.) (General Kidney Guard capsule),Choice USA International Corporation,3/27/2007,6/18/2007
460,Rpt/NDI 410,Dunaliella Dried Powder,Nikken Sohonsha Corporation,4/9/2007,8/14/2007
461,Rpt/NDI 409,Bacillus subtilis Strain PB6 (Anaeban™ capsules),"Kemin Health, L.C.",5/11/2007,8/10/2007
462,Rpt/NDI 412,RepHresh Pro-B (Lactobacillus reuteri RC-14™ and Lactobacillus rhamnosus GR-1™),Lil' Drug Store Products Inc,5/18/2007,8/10/2007
463,Rpt/NDI 405,Garliselect® derived from the sprouted bulbs of Allium sativum Linn.,Sabinsa Corporation,5/29/2007,8/10/2007
464,Rpt/NDI 408,Gludia,"America Natural Herbs, LLC",5/18/2007,8/10/2007
465,Rpt/NDI 407,Plukenetia volubilis L. Oil (Sacha Inchi Oil),Kopali Organics,6/1/2007,8/15/2007
466,Rpt/NDI 406,AstaPure oleoresin containing 10% astaxanthin esters from  Haematococcus pulvialis (Flotow em. Wille),Algatechnologies,5/15/2007,8/16/2007
468,Rpt/NDI 413,Black seed or Blessed seed derived from the seed of Nigella sativa (Blessed Seed Capsule),KSP Group Corporation,7/6/2007,9/18/2007
469,Rpt/NDI 430,Huang Shu Kui Hua Abelmoschus manihot [L.] Medik (General Kidney Guard Capsule),Choice USA International Corporation,7/6/2007,9/19/2007
470,Rpt/NDI 414,"Marine Mollusk Extract produced from Strombus gigas, Phyllynotus erythrostomus and Busycon sinistrum (PotentSea)",Gold Leaf Sustainable,7/18/2007,10/3/2007
471,Rpt/NDI 415,Diamine Oxidase (DAO) (Tolerase),"Marlyn Nutraceuticals, LLC",7/13/2007,10/3/2007
472,Rpt/NDI 416,"AMP, CMP, GMP, UMP, RNA (Nucleic Acid Supplement Capsules)",TJ Panorama Inc,7/24/2007,10/15/2007
473,Rpt/NDI 418,Brucitic Marble ,ACM-Texas LLC,8/6/2007,10/19/2007
474,Rpt/NDI 419,Aka-shoma extract derived from the roots of Astilbe thunbergii (Siebold & Zucc.) Miq.,"BHN Co., LTD",8/9/2007,10/30/2007
476,Rpt/NDI 425,"a symbiosis of Streptococcus faecalis T-110, Bacillus mesentericus TO-A and Clostridium butyricum TO-A (BIO-THREE)","GloboAsia, LLC",8/23/2007,11/6/2007
477,Rpt/NDI 420,Geranti Bio-Ge Yeast derived from Saccharomyces cerevisiae (Hansen),Geranti Pharm LTD,8/27/2007,11/16/2007
478,Rpt/NDI 424,Aequorin/Apoaequroin,"Quincy Bioscience Manufacturing, Inc.",9/5/2007,12/7/2007
479,Rpt/NDI 426,Hyaluronic acid or Sodium Hyaloronate (Aquaflex),"Aquaflex, Inc.",9/7/2007,12/14/2007
480,Rpt/NDI 427,Sodium Hyaluronate = Hyaluronan and Hyaluronic Acid (KineSyn™),"Halstrum, LLC",9/7/2007,12/14/2007
481,Rpt/NDI 421,Phillenus linteus mycelium extract (Mesima),Health World Inc  ,9/11/2007,12/7/2007
482,Rpt/NDI 428,"Antrodia camphorata (M. Zhang & C.H. Su) Sheng H. Wu, Ryvarden & T.T. Chang","Catapult, Ltd",9/18/2007,12/7/2007
483,Rpt/NDI 422,"a combination of Knotted wrack-Asophyllum nodosom (L.), Spiral wrack -Fucus spiralis (L.), Channel wrack- Pelvetia canaliculata (L.) Decaisne & Thuretand   ",International Partnership Ltd.,9/18/2007,12/7/2007
484,Rpt/NDI 423,Vitamin D3 - cholecalciferol (Maximum D3),BTR Group Inc,10/1/2007,12/20/2007
485,Rpt/NDI 429,Chromium Propionate,"Kemin Foods, L.C.",10/3/2007,12/20/2007
486,Rpt/NDI 466,Probiotic Strain Powder ADP-1 (Lactobacillus paracasei GMNL-33),GenMont Biotech Inc,10/24/2007,3/28/2008
487,Rpt/NDI 457,Hydrolyzed lignin and lactulose (Lactofiltrum),Dikovskiy VA,11/6/2007,2/12/2008
488,Rpt/NDI 460,Lactobacillus reuteri RC-14™ and Lactobacillus rhamnosus GR-1™ (RepHresh Pro-B),Lil' Drug Store Products Inc,11/26/2007,3/10/2008
489,Rpt/NDI 455,Toona Sinesis and Heracleum lanatum,Leonard Lee,12/14/2007,2/28/2008
490,Rpt/NDI 431,Polyphenol made from peanut seed coat extract (Peanut Seed Coat Extract (PAQ; Allerblock),Uehara LLC,12/3/2007,2/20/2008
491,Rpt/NDI 432,"Vitamins B-1, B-2, Niacinamide, B-6 B-12, and Choline (Almebex Plus B-12 Liquid)","Propharma, Inc",12/3/2007,2/20/2008
492,Rpt/NDI 433,"Vitamins B-1, B-6, B-12, Iron, and L-Lysine (ApetiFort Liquid)","Propharma, Inc",12/3/2007,2/20/2008
493,Rpt/NDI 434,"Vitamins B-1, B-6, B-12, Iron, and L-Lysine (Apetimar with Iron Liquid)","Propharma, Inc",12/3/2007,2/20/2008
494,Rpt/NDI 435,"Vitamins A (vitamin A palmitate), C (ascorbic acid), D (cholecalciferol), E (DL alpha  tocopheryl acetate), B-1 (thiamine hydrochloride), B-2 (riboflavin 5 phosphate sodium), B-6 (pyridoxine hydrochloride), B-12 (cyanocobalamine), Pantothenic Acid (dexpanthenol), Iodine (potassium iodide), Zinc (zinc gluconate), Selenium (sodium selenate), Manganese (manganese chloride), Chromium (chromium chloride) (Booster Vite Liquid)","Propharma, Inc",12/3/2007,2/20/2008
495,Rpt/NDI 436,"Vitamins A (vitamin A palmitate), C (ascorbic acid), D (cholecalciferol), E (DL alpha  tocopheryl acetate),Thiamine (thiamine hydrochloride), Riboflavin (riboflavin 5 phosphate), Niacinamide (niacin), B-6 (pyridoxine hydrochloride), B-12 (cyanocobalamine), Biotin (D-biotin), Iodine (potassium iodide), Pantothenic Acid (calcium D-pantothenate), Iron (ferrous gluconate), Zinc (zinc gluconate), Manganese (manganese chloride), Chromium (chromium chloride), Molybdenum (sodium molybdate). (Certa Vite Liquid)","Propharma, Inc",12/3/2007,2/20/2008
496,Rpt/NDI 437,Activated Charcoal (Flatulex Tablets),"Propharma, Inc",12/3/2007,2/20/2008
497,Rpt/NDI 438,"Vitamins B-1 (thiamine hydrochloride), B-2 (riboflavin), B-6 (pyridoxine hydrochloride), B-12 (cyanocobalamin), Phosphorous, Ginko Biloba, Glutamic Acid, Glutathione, Glycerophosphate. (Forsgluten Reforzado Tablets)","Propharma, Inc",12/3/2007,2/20/2008
498,Rpt/NDI 439,"Iron (polysaccharide iron complex), Folic Acid, Vitamin B-12 (Cyanocobalamin). (Hematron Drops)","Propharma, Inc",12/3/2007,2/20/2008
499,Rpt/NDI 440,Iron (polysaccharide iron complex) (Irofol Liquid),"Propharma, Inc",12/3/2007,2/20/2008
500,Rpt/NDI 441,"a combination of Vitamin A, Vitamin C, Calcium, Iron, Vitamin D, Vitamin E, Vitamin K, Vitamin B-1, Vitamin B-2, Niacin, Vitamin B-6, Folate, Vitamin B-12, Biotin, Pantothenic Acid, Phosphorus, Iodine, Magnesium, Zinc, Copper, Manganese, and Chloride. (Meritene Powder)","Propharma, Inc",12/3/2007,2/20/2008
501,Rpt/NDI 442,"a combination of Thiamin (Vitamin B-1), Riboflavin (Vitamin B-2), Niacinamide (Niacin), Vitamin B-6, Vitamin B-12, Dexpanthanol (Pantothenic Acid), Choline Bitartrate, Race Methionine, Inositol, Desiccated Liver, and Undefated Liver. (Methischol Capsules)","Propharma, Inc",12/3/2007,2/20/2008
502,Rpt/NDI 443,"a combination of Anise Oil, Camphor and Peppermint Oil. (Pahomin Liquid)","Propharma, Inc",12/3/2007,2/20/2008
503,Rpt/NDI 444,"a combination of Anise Oil, Camphor and Peppermint Oil. (Paregorico Drops)","Propharma, Inc",12/3/2007,2/20/2008
504,Rpt/NDI 445,"a combination of Vitamin E (d-alpha tocopheryl acetate), Zinc (Zinc oxide), Selenium (selenium amino acid chelate), Pygeum Africanum, Saw Palmetto, Stinging Neetles Root, and Bromelain. (Prosta-7 tablets)","Propharma, Inc",12/3/2007,2/20/2008
505,Rpt/NDI 446,Micronised Disomine. (Provasmin),"Propharma, Inc",12/3/2007,2/20/2008
506,Rpt/NDI 447,"a combination of Melatonin, Chamomile Flower Powder, Passion Flower Extract (derived from Passiflora incarnate L.), and Valerian Root Extract (derived from Valeriana officinalis L.). (Serenitas)","Propharma, Inc",12/3/2007,2/20/2008
507,Rpt/NDI 448,"a combination of Vitamin B-1 (thiamine hydrochloride), Vitamin B-2 (riboflavin 5’ phosphate, Niacinamide, Vitamin B-6 (pyridoxine hydrochloride), Vitamin B-12 (cyanocobalamin) and Dexpanthenol, Zinc (zinc sulfate) and L-Lysine. (Supervite Liquid)","Propharma, Inc",12/3/2007,2/20/2008
508,Rpt/NDI 449,"a combination of Vitamin A (vitamin A Palmitate), Vitamin C (Ascorbic Acid), Vitamin D (Cholecalciferol), Thamine (thiamine hydrochloride), Riboflavin (riboflavin 5’ phosphate, Niacin (Niacinamide), Vitamin B-6 (pyridoxine hydrochloride), Vitamin B-12 (cyanocobalamin) and Pantothenic Acid (d-Panthenol). (Thera Liquid)","Propharma, Inc",12/3/2007,2/20/2008
509,Rpt/NDI 450,"a combination of Niacinamide, Witch Hazel Fluid Extrac (derived from Hamamelis virginiana) and Hawthorn Berries Fluid Extract. (Vasokastan Drops)","Propharma, Inc",12/3/2007,2/20/2008
510,Rpt/NDI 451,"a combination of Vitamin C, Vitamin B1 (Thaimine), Vitamin B6, Vitamin B12, niacin, Hawthorn Berries, Horse Chestnut (derived from Aesculus hippocastanum L.) and  Hammamelis Virginiana (apparently derived from Hamamelis virginiana L.). (Vasokastan Tablets)","Propharma, Inc",12/3/2007,2/20/2008
511,Rpt/NDI 452,"a combination of Vitamin C, Vitamin B1 (Thaimine), Vitamin B6, Vitamin B12, niacin, Hawthorn Berries, Horse Chestnut (derived from Aesculus hippocastanum L.) and  Hammamelis Virginiana (apparently derived from Hamamelis virginiana L.). (Venaton Tablets)","Propharma, Inc",12/3/2007,2/20/2008
512,Rpt/NDI 453,"a combination of Niacinamide, Witch Hazel Fluid Extract (derived from Hamamelis virginiana) and Hawthorn Berries Fluid Extract. (Venaton Drops)","Propharma, Inc",12/3/2007,2/20/2008
513,Rpt/NDI 454,"a combination of Vitamin C, Hammamelis Virginiana (apparently derived from Hamamelis virginiana L.), Hawthorn Berries, Horse Chestnut (derived from Aesculus hippocastanum L.) Citrus Bioflavonoids, Rutin, and Hesperidin Complex. (Veniphlex Tablets)","Propharma, Inc",12/3/2007,2/20/2008
514,Rpt/NDI 461,Lactobacillus paracasei GM080 or Lactobacillus paracasei GMNL-32 (Probiotic AAP-1),GenMont Biotech Inc,12/11/2007,3/28/2008
515,Rpt/NDI 458,Xanthohumol. (Xantho C),Novimed GmbH,12/12/2007,3/10/2008
516,Rpt/NDI 459,Bacillus subtilis Strain PB6 (Anaeban™ Capsules),"Kemin Industries, L.C.",12/13/2007,2/26/2008
517,Rpt/NDI 463,Nano-Se (XiWang Capsule),Shanghai Stone Nanotechnology Port Ltd,12/14/2007,4/22/2008
518,Rpt/NDI 456,Troxerutin Girex. (Troxerutin),Girex ,12/17/2007,3/10/2008
519,Rpt/NDI 480,Diamine Oxidase (DAO) (Tolerase),"Marlyn Nutraceuticals, LLC",1/3/2008,9/8/2008
520,Rpt/NDI 464,Tetradecylthioacetic Acid (TTA),Integrity Nutraceuticals International,1/3/2008,4/21/2008
521,Rpt/NDI 462,Frutarom EFLA® 717 Pink Rockrose Extract which you derive from the aerial stem and leaves of Cistus incanus L. ,"Frutarom Switzerland, Ltd",1/4/2008,3/11/2008
525,Rpt/NDI 465,"AMP, CMP, GMP, UMP, RNA (Nucleic Acid Supplement Capsules)",TJ Panorama Inc,2/6/2008,4/21/2008
526,Rpt/NDI 467,an extract obtained from the natural needles of Scotch Pine (Pinus sylvestris L.) – 55% and European Fir (Picea abies (L) Karst.) –45% (Conifer Green Needle Complex),Solagran Limited,2/14/2008,5/1/2008
527,Rpt/NDI 478,Transglucosidase (isolate from Aspergillus niger),Amano Enzyme Inc,3/17/2008,9/8/2008
528,Rpt/NDI 468,"Antrodia camphorata (M. Zhang & C.H. Su) Sheng H. Wu, Ryvarden & T.T. Chang","Catapult, Ltd",3/31/2008,6/16/2008
529,Rpt/NDI 469,Purging Croton or Croton Penduliflorus (Croton penduliflorus Hutch). (Benalax),Hains Herbal Products,4/2/2008,6/16/2008
530,Rpt/NDI 470,Made from extracts of medicinal Gervao (Stachytarpheta jamaicensis (L) Vahl) (ERECT aid),Hains Herbal Products,4/2/2008,6/16/2008
532,Rpt/NDI 471,Methylthioadenosine (MTA) ,Life Science Laboratories,4/3/2008,6/20/2008
533,Rpt/NDI 472,"N,N'-bis(2-mercaptoethyl)isopthalamide. (code name CT-01)","CTI Science, Inc.",4/7/2008,6/17/2008
534,Rpt/NDI 477,Bacillus subtilis Strain PB6 (Anaeban™ Capsules),"Kemin Industries, L.C.",4/4/2008,7/31/2008
535,Rpt/NDI 475,Calanus oil (Arctic Ruby Oil),Calanus AS,4/10/2008,7/31/2008
536,Rpt/NDI 473,"S-adenosylmethionine (SAMe) and its stabilizing salt 1,4 butanedisulfonate",Hebert SAM-E,4/14/2008,8/1/2008
537,Rpt/NDI 476,Lactobacillus paracasei GMNL-33 (ADP-1™ or Dental-Lac™),GenMont Biotech Inc,4/18/2008,8/22/2008
538,N/A,Lactobacillus paracasei GM080 (GMNL-32) (AAP-1™ or LP-33™),GenMont Biotech Inc ,4/18/2008,8/22/2008
540,N/A,Troxerutin GIREX (Troxerutin),Girex,5/19/2008,8/15/2008
542,N/A,Oxaloacetic Acid (BenaGene),Terra Biological LLC,5/23/2008,8/22/2008
543,N/A,an extract obtained from the natural needles of Scotch Pine (Pinus sylvestris L.) – 55% and Norwegian Spruce (Picea abies (L) Karst.) –45% (Conifer Green Needle Complex [CGNC]),Solagran Limited,6/3/2008,8/18/2008
544,N/A,Pyrroloquinoline Quinone Disodium Salt (PQQ),"Mitsubishi Chemical Gas Co., Inc.",6/3/2008,8/15/2008
545,N/A,"Synephrine L-Arginine, and Alpha-Ketoglutarate (SAAKG)","SciAn Laboratories, LLC",6/10/2008,8/22/2008
546,N/A,"An herbal extract of roots of Rhapontic (Siberian) rhubarb (latin name Rheum rhaponticum L., (Rhei radix) [ERr731®]","AIBMR Life Sciences, Inc.",5/12/2008,8/15/2008
547,N/A,Yuen Foong Yu Herba Dendrobii prepared from the leaf and stem of Dendrobium Huoshanense plant (Dendrobium huoshanense C.Z. Tang & S.J. Cheng),"Yuen Foong Yu Biotech Co., LTD.",6/27/2008,9/4/2008
548,N/A,Isoloate from the roots of Astilbe thunbergii (Siebold & Zucc.) Miq [Aka-shoma Extract Powder],"BHN Co., LTD",7/1/2008,9/15/2008
549,N/A,3'-Sialyllactose sodium salt from biosynthesis,GeneChem Inc.,7/15/2008,8/29/2008
550,N/A,"Glycyrrhiza uralensis, Ligusticum tenuissimum, Platycodon grandiflorum, Raphani sativus, Crataegus pinnatifida, Aloe arborescens, Acathopanax sessiliflorus, Eugenia aromaticum, Citrus reticulatae, Polygonum multiflorum, and Arctium lappa [NPL-X]","Nosmo Co., Ltd.",7/17/2008,9/19/2008
551,N/A,Methylthioadenosine (MTA),Life Science Laboratories,7/10/2008,9/19/2008
553,N/A,"Vitamin E/dl-alpha-tocopherol, Vitamin E/dextrin, Vitamin B6/Pyridoxine Hydrochloride, and Dehydrogenase. (Piq One)",JA Cuni,7/16/2008,9/19/2008
554,N/A,Frutarom EFLA® 717 Pink Rockrose Extract derive from the aerial leaves and sterms of Cistus incanus L.,"Frutarom Switzerland, Ltd",7/17/2008,9/26/2008
555,N/A,Vitamin B12-SNAC (salcaprozate sodium) complex (Eligen® B12),"Emisphere Technologies, Inc.",7/22/2008,10/6/2008
556,N/A,Ecklonia cava extract (Seanol-F),"Simply Healthy, LLC",7/28/2008,10/10/2008
557,N/A,Chromium Propionate,"Kemin Foods, L.C.",8/1/2008,10/15/2008
558,N/A,"PHX™ Bi-Carb Buffer (Potassium bicarbonate, Sodium bicarbonate, Magnesium Oxide, Zinc Oxide)","PHX Health Solutions, Inc. ",8/5/2008,10/23/2008
559,N/A,"PHX™ Bi-Cal-Carb Buffer (Calcium Carbonate, Magnesium oxide, and Zinc Oxide)","PHX Health Solutions, Inc. ",8/5/2008,10/23/2008
560,N/A,Aureobasidium cultured solution (Aureo ß-Glucan),"Aureo Co., Ltd.",8/14/2008,10/28/2008
561,N/A,"Camelina Oil BSOI-X derived from seeds of a hybrid produced from a cross between wild Camelina, microcarpa, and Camelina sativa","Kamelina California, Inc.",10/2/2008,12/15/2008
562,N/A,D-glyceric acid (and its calcium salt),Remedal Limited,10/6/2008,12/22/2008
563,N/A,Suntava™ Red Maize Powder,Suntava LLC,11/4/2008,1/14/2009
566,N/A,"Dendrobium huoshanense, C.Z. Tang & S.J. Cheng, cultivar YFY-HS1 (Yuen Foong Yu Herba Dendrobii)","Yuen Foong Yu Biotech Co., LTD.",12/4/2008,2/17/2009
567,N/A,Linalool oil (naturally occurring) from Coriander (Coriandrum sativum L.) (Diabexall),Hanader Corporation,12/18/2008,2/24/2009
572,N/A,Polyphenols from Grapeseed Extract (Grapemax Extra-Pure),"CODE (Conseil Organisation Distribution Ergonomie of Montlignon, France)",1/26/2009,4/6/2009
573,N/A,Sutherlandia frutescens sicc derived from the leaf and stem parts of Sutherlandia frutrescens (L.)R.Br. (Power Your Life Reclaim+ Protect),"Parceval (Pty) Ltd of Wellington, South Africa",1/27/2009,4/10/2009
574,N/A,Derived from the fruit of Synsepalum dulcificum (Schumach. & Thonn.) Daniell [aka Miracle fruit] (mberry),"My M Fruit, LLC",1/30/2009,4/14/2009
575,N/A,Fenfuro (extract of fenugreek seeds derived from the seed of Trigonella foenum-graecum L.) ,Chemical Resources,2/2/2009,4/15/2009
576,N/A,PEP2COMFORTTM isolated from Aspergillus niger ,"DSM Nutritional Products, Inc.",2/9/2009,4/15/2009
577,N/A,Viathen T (Bear's garlic derived from the leaves of Allium ursinum L.),"Viathen (Vertriebsgesellschaft mbH Rostock, Germany)",2/9/2009,4/20/2009
578,N/A,Essential Growth Factors from sheep cell culture (Ruyi's Zell-V Platinum),Wongbeck Distribution LLC,2/17/2009,5/4/2009
580,N/A,Derived from wild yams (3a/3b-androsterone),Proprietary Wellness,3/12/2009,3/27/2009
581,N/A,TG Amano DS Transglucosidase isolated from Aspergillus niger var awamori,Amano Enzyme USA Co. LTD,3/19/2009,6/1/2009
582,N/A,EPA-rich triglyceride oil [and] EPA refers to Eicosapentanoic acid obtained through a fermentation process using Yarrowia lipolytica,DuPont Applied Biosciences,4/3/2009,7/23/2009
583,N/A,Resveratrol (AIO Premium Cellular Health),"Ceres Living, Inc.",4/6/2009,6/1/2009
585,N/A,Black seed or Blessed seed derived from the seed of Nigella sativa L. (Blessed seed capsule or Black seed capsule),Nature Therapy Corporation,5/7/2009,6/23/2009
586,N/A,Oxaloacetic acid (BenaGene),Terra Biological LLC,5/13/2009,7/24/2009
587,N/A,"androsta-1,4,6-triene-3,17-dione / 1,4,6-androstatriene-3,17-dione /ATD (ATD) ",Proprietary Wellness,5/13/2009,7/24/2009
588,N/A,"3a- androsterone / 3a,5a-3-hydroxyandrostan-17-one",Proprietary Wellness,5/21/2009,7/30/2009
589,N/A,Epiandrosterone (3β-androsterone),Proprietary Wellness,5/21/2009,7/30/2009
590,N/A,Diosmin (Diosvein™),"Exquim, S.A.",5/28/2009,10/13/2009
591,N/A,D-Ribose-L-Cysteine (RiboCeine),"Max International, LLC",6/1/2009,8/6/2009
592,N/A,"Androst-4-ene-3,6,17-trione/4-etioallocholen-3,6,17-trione / '6-OXO' / '4-AT'",Proprietary Wellness,6/3/2009,8/14/2009
593,N/A,Solubilized Eggshell Membrane (Ovacore),"Biova, LLC",6/11/2009,9/21/2009
594,N/A,Calcium carbonate and magnesium carbonate derived from Maerl red algae (AlgaeCal),"AlgaeCal, Inc.",6/17/2009,9/1/2009
595,N/A,Linalool oil (naturally occurring) from Coriander (derived from the seeds of Coriandrum sativum L.) (Diabexall),Hanader Corporation,6/23/2009,9/4/2009
596,N/A,Homotaurine (Vivimind),"OVOS Natural Health, Inc. (OVOS)",6/29/2009,9/8/2009
597,N/A,Milkweed Seed Oil (MSO) derived from the pod seeds of milkweed plants (Asclepias Syriaca [sic] and Asclepias Specosia),Natural Fibers Corporation,7/8/2009,9/17/2009
598,N/A,"Root of Astilbe thunbergii plants (Aka-shoma Extract
Powder)","BHN Co., LTD",7/8/2009,9/21/2009
599,N/A,"Niu Zhang Zhi Mycelia Powder derived from the mushroom, Antrodia cinnamomea Zang & Su. (Essence of Antrodia cinnamomea capsules)",Motech Corporation,7/13/2009,8/12/2009
600,N/A,Golden Clam (Corbicula fluminea) Powder derived from the flesh of Corbicula fluminea (Superior Essence of Golden Clam),Motech Corporation,7/13/2009,9/24/2009
602,N/A,Polypodium leucotomos leaf extract derived from the fronds of the fern Phlebodium aureum (L) J. Sm. (Fernblock®),"Industrial Farmaceutica Cantabria, S.A.",7/16/2009,9/28/2009
603,N/A,"a probiotic consisting of Streptococcus [Enteroccocus faecalis, Bacillus mesentericus, and Clostridium butyricum (Bio-Three H Powder)",Josifa International Inc.,7/23/2009,9/30/2009
604,N/A,"Androst-4-ene-3, 11, 17-trione (Adrenosterone / Reichstein's Substance / 11-OXO)",Proprietary Wellness,7/27/2009,10/7/2009
605,N/A,a powder derived from Sesamum indicum L. (Sesame Peptide KM-20),"Uniglobe Kisco, Inc",8/3/2009,10/13/2009
606,N/A,Derived from the roots of Triclisia subcordata Oliv. (Anuolu),Cornelius Babasany-Craig,8/10/2009,9/28/2009
607,N/A,Red vine leaf extract derived from the leaves of Vitis viniferae L. folia (Antistax),"Boehringer Ingelheim Pharmaceuticals, Inc.",8/14/2009,10/28/2009
608,N/A,Lactobacillus paracasei GM080 (GMNL-32) (AAP-1™ or LP33™),GenMont Biotech Inc,8/20/2009,5/12/2010
609,N/A,"GLA (gamma linolenic acid) safflower oil (derived from the seed of the safflower plant, Carthamus tinctorius L. cv.) (SONOVA 400™)","Arcadia Biosciences, Inc.",8/31/2009,11/25/2009
610,N/A,"Astragalus membranaceus and Notoginseng [sic] (an extract derived from the root of Astragalus membranaceus Friedrich Ernst Ludwing von
Fischer and Panax notoginseng Isaac Henry Burkill) (AstraGin)","Nuliv Science USA, Inc.",9/9/2009,11/24/2009
612,N/A,a water extract of Cissus quadrangularis derived from the leaves and stems of Cissus quadrangularis L. (Cissus CQR-300),"Gateway Health Alliances, Inc.",9/14/2009,11/30/2009
613,N/A,Garlic powder naturally enriched with organic selenium compounds derived from the bulbs of Allium sativum L. (SelenoForce™),Sabinsa Corporation,9/15/2009,11/30/2009
614,N/A,Calcium (2-amino-4(3H)-pteridinone) (Calcium Pterin (CaPterin)),"SanRx Pharmaceuticals, Inc.",9/23/2009,12/4/2009
615,N/A,Calcium formate,"Nephro-Tech 1, LLC",9/30/2009,12/9/2009
616,N/A,Antrodia camphorata mycelia powder derived from the mycelia of Antrodia cinnamomea Zang & Su. (Antrodia camphoratacapsules),Motech Corporation,10/29/2009,1/5/2010
618,N/A,"Sea buckthorn berry juice, berry juice obtained from the sea buckthom (Hippophae rhamnoides L) plant (CharmaVi™)",Meaningful Food Company,11/4/2009,1/14/2010
621,N/A,Polypodium leucotomos leaf extract derived from the leaves of the fern Phlebodium aureum (L.) J. Sm. (Fernblock®),"Industrial Farmaceutica Cantabria, S.A.",11/30/2009,2/12/2010
623,N/A,"2-(1',2',3',4'-tetrahydroxybutyl)thiazolidine-4-carboxylic acid (CAS # 17087-36-4) (D-Ribose-L-Cysteine (RiboCeine))","Max International, LLC",12/9/2009,2/22/2010
624,N/A,"Lignin hydrolyzed derived from wood chips of Picea abies (L.) H. Karst, Pinus silvestris L. var. mongolica Litv., Betula alba L. Ehrh, and Populus tremula f. pendula G. Kirchn (Filtrum-Safari)",AVVA Pharmaceuticals AG,12/9/2009,2/22/2010
625,N/A,3'-hydroxystilbene (3HPT) (Obestilin),Sabinsa Corporation,12/29/2009,3/12/2010
